LFQ intensity H1	LFQ intensity H2	LFQ intensity H3	LFQ intensity L1	LFQ intensity L2	LFQ intensity L3	C: Only identified by site	C: Reverse	C: Potential contaminant	C: Welch's T-test Significant L_Hwelch_combined	C: Welch's T-test significant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: PEP	N: Intensity	N: -Log Welch's T-test p-value L_Hwelch_combined	N: Welch's T-test q-value L_Hwelch_combined	N: Welch's T-test Difference L_Hwelch_combined	N: Welch's T-test Test statistic L_Hwelch_combined	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
20.4928	20.5658	20.4178	21.857	21.4225	21.8577				+	L_H	2	2	2	4.2	4.2	4.2	78.927	3.84E-05	16486000	2.03534	0.0346853	1.22027	0.567276	E9PNL8;B7Z6M3;A8MVN1;Q13574-2;G3V0F6;E9PPW4;Q13574-3;Q13574;H0YDN6;E9PFX6;F5H0D5;E7EM72;O75912;E7EWQ4	E9PNL8;B7Z6M3;A8MVN1;Q13574-2;G3V0F6;E9PPW4;Q13574-3;Q13574;H0YDN6;E9PFX6;F5H0D5;E7EM72;O75912;E7EWQ4	Diacylglycerol kinase zeta;Diacylglycerol kinase iota	DGKZ;DGKI	122
31.3497	31.3338	31.5374	32.2579	32.1181	31.9915				+	L_H	29	29	16	46.8	46.8	26.8	94.622	3.66E-187	17943000000	2.63732	0.0165388	0.715476	0.340547	P43243;A8MXP9;D6REM6;D6R991;H0Y8T4;B3KM87;Q68E03;D6R8Z5;D6RCM3;D6REK4;D6RBI2;D6RE02;D6RB45;D6R9F3;D6RAM9;D6RAY2;D6RBS2;D6RBK5	P43243;A8MXP9;D6REM6;D6R991	Matrin-3	MATR3	134
26.7032	26.7153	26.2566	27.6929	27.8746	27.5355				+	L_H	17	17	17	32.4	32.4	32.4	61.013	1.14E-45	1243600000	2.28285	0.0251159	1.1426	0.524147	G8JLH4;Q9Y262;B0QY89;B3KNG0;B0QY90;C9JHP4;C9K0Q7;H0Y7E6;H7C3A0	G8JLH4;Q9Y262;B0QY89;B3KNG0;B0QY90	Eukaryotic translation initiation factor 3 subunit L	EIF3L;EIF3EIP	149
26.6786	26.7283	26.5117	26.9643	27.2399	27.0354				+	L_H	9	9	9	12.1	12.1	12.1	96.798	2.40E-42	759480000	1.80963	0.045961	0.440348	0.209149	E7EMZ4;F8VXY4;F8VX53;P46379-2;B0UX83;P46379;P46379-3;G3V1Z5;F6S6P2;F6TH84;F6UR09;F6U1F2;F6XTU0;F6RG75;F6WML8;F6VEM6;F6X9W3;F6U341;F6TC96;H0Y4L1;H0Y710	E7EMZ4;F8VXY4;F8VX53;P46379-2;B0UX83;P46379;P46379-3;G3V1Z5;F6S6P2;F6TH84	Large proline-rich protein BAG6	BAG6;BAT3	160
27.1786	26.9191	27.0016	27.7385	27.6422	27.6611				+	L_H	23	23	23	23.8	23.8	23.8	131.57	2.85E-91	1167600000	2.14671	0.0294176	0.647477	0.310983	O43847;O43847-2;B1AKJ5;G3V1R5;F5H6R2;F5H7V1;E9PHF8;H0Y5G9;REV__P21675;REV__P21675-2;REV__B1Q2X3;REV__P21675-3;REV__P21675-4	O43847;O43847-2;B1AKJ5;G3V1R5;F5H6R2;F5H7V1	Nardilysin	NRD1	174
23.2187	23.3372	23.258	23.7618	23.8417	23.7523				+	L_H	5	5	3	4.2	4.2	2.5	212.67	7.71E-15	100080000	3.38241	0.00817445	0.513993	0.251351	P21675;P21675-2;B1Q2X3;P21675-3;P21675-4;Q8IZX4	P21675;P21675-2;B1Q2X3;P21675-3;P21675-4;Q8IZX4	Transcription initiation factor TFIID subunit 1;Transcription initiation factor TFIID subunit 1-like	TAF1;N-TAF1;TAF1L	190
27.8437	27.2642	27.7311	28.7683	28.6198	28.418				+	L_H	14	14	14	47.5	47.5	47.5	40.497	5.97E-54	1587100000	1.83362	0.0446263	0.989044	0.448671	B3KQ63;H0YF74;P32754	B3KQ63;H0YF74;P32754	4-hydroxyphenylpyruvate dioxygenase	HPD	197
25.4257	25.2415	25.1114	25.9239	26.2028	26.0554				+	L_H	6	6	6	43.7	43.7	43.7	22.408	5.76E-22	212650000	2.53687	0.0186428	0.801187	0.377618	B3KW71;P09417;B7Z415;D6RGG7;H0Y8F7;D6RHJ7	B3KW71;P09417;B7Z415;D6RGG7	Dihydropteridine reductase	QDPR	220
27.1282	27.0788	27.2133	27.6582	27.7687	27.948				+	L_H	23	23	22	36	36	35	103.1	6.54E-88	1042900000	2.13889	0.0296913	0.651565	0.311286	B3KXS5;P36776;F5GZ27	B3KXS5;P36776;F5GZ27	Lon protease homolog;Lon protease homolog, mitochondrial	LONP1	224
30.0048	30.107	29.913	30.5937	30.6615	30.6169				+	L_H	24	24	19	54.7	54.7	41.5	64.181	7.99E-131	6048400000	2.38761	0.022036	0.615801	0.299011	B4DDF7;P30153;F5H3X9;E9PH38;B4E1Q0;C9J9C1;E9PPI5;E9PNM7;E9PHZ6	B4DDF7;P30153;F5H3X9;E9PH38	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	PPP2R1A	228
26.5139	26.7667	26.7416	27.487	27.2557	27.4965				+	L_H	10	10	10	30.7	30.7	30.7	37.805	9.74E-43	713840000	2.55451	0.0182871	0.73897	0.349799	B4DT77;B4DHY4;P20073-2;P20073	B4DT77;B4DHY4;P20073-2;P20073	Annexin;Annexin A7	ANXA7	259
26.3004	26.3547	26.2262	26.7478	26.6355	26.8883				+	L_H	6	6	6	56.1	56.1	56.1	15.81	2.72E-29	421860000	1.9475	0.0385079	0.463428	0.22258	B4DIZ2;P61086;D6RDM7;P61086-2;C9JGP1	B4DIZ2;P61086;D6RDM7;P61086-2;C9JGP1	Ubiquitin-conjugating enzyme E2 K	UBE2K	267
26.3669	26.2877	26.4387	26.7749	26.7657	26.6855				+	L_H	10	10	10	17.9	17.9	17.9	61.345	1.25E-43	692950000	2.47218	0.0199814	0.377623	0.184022	B4DJL6;B4DVD5;Q96SY0-3;H3BRY6;B4DVT3;Q96SY0;H3BT02	B4DJL6;B4DVD5;Q96SY0-3;H3BRY6;B4DVT3;Q96SY0	UPF0464 protein C15orf44	C15orf44	271
29.1758	29.3409	29.2471	29.6876	29.9466	29.7388				+	L_H	15	15	14	35.8	35.8	33.8	50.431	1.85E-73	3597100000	2.10339	0.0314247	0.536403	0.256346	B4DJV2;O75390;H0YIC4;F8W4S1;F8VTT8;H0YH82;F8VZK9;F8VX07;F8VRP1;F8VX68;F8VWQ5;F8VPF9;F8VPA1;F8W1S4;F8W642;F8VRI6;F8VU34;F8W0J2;F8VVF6;F8VR34	B4DJV2;O75390;H0YIC4	Citrate synthase;Citrate synthase, mitochondrial	CS	275
19.8778	19.4757	19.332	21.5188	21.5982	21.1835				+	L_H	2	2	2	5.1	5.1	5.1	43.574	4.89E-13	14047000	2.96525	0.0120125	1.87164	0.848064	B4E1A0;P49356;B4DL54;H0YHI0;B3KSC2	B4E1A0;P49356;B4DL54;H0YHI0;B3KSC2	Protein farnesyltransferase subunit beta	CHURC1-FNTB;FNTB	285
27.3998	27.3767	27.3274	28.0082	28.0894	28.0687				+	L_H	18	18	18	28.6	28.6	28.6	82.771	1.73E-79	1083900000	4.47735	0.00472273	0.687461	0.338251	B4DLG2;O75152;E9PQ61;E9PBY7	B4DLG2;O75152;E9PQ61;E9PBY7	Zinc finger CCCH domain-containing protein 11A	ZC3H11A	288
28.1064	27.8208	28.0983	28.7675	28.6797	29.142				+	L_H	7	7	7	44.8	44.8	44.8	18.11	5.56E-30	1576300000	1.97477	0.0372568	0.854553	0.393796	B4DM74;Q02543	B4DM74;Q02543	60S ribosomal protein L18a	RPL18A	293
28.516	28.4693	28.3866	28.8088	29.0833	29.0198				+	L_H	13	13	13	49.4	49.4	49.4	38.438	1.75E-66	2530000000	1.87504	0.0424118	0.513365	0.245491	Q9Y3F4;B4DNJ6;B0AZV0;H0YH33	Q9Y3F4;B4DNJ6;B0AZV0	Serine-threonine kinase receptor-associated protein	STRAP	296
30.268	30.223	29.7564	30.8139	31.0803	31.1216				+	L_H	5	5	5	41	41	41	16.476	2.01E-59	5802400000	1.85766	0.0432512	0.922833	0.421412	B4DP11;Q15185;B4DP21;B4DDC6;B4DHP2	B4DP11;Q15185;B4DP21	Prostaglandin E synthase 3	PTGES3	301
26.2095	26.4997	26.1041	26.9489	26.9008	27.1692				+	L_H	5	5	2	38.8	38.8	15.8	18.778	2.58E-36	471230000	2.02707	0.0351279	0.735221	0.342878	B4DQI8;P61224;B4DW94;B4DW74;E7ESV4;F5H7Y6;A6NIZ1;F5H823;B7ZB78;F5GZG1;F5H6R7;F5H004;F5GX62;F5H147;F8WBC0;F5H4H0;F5GYH7;F5H077;F5GWU8;F5H491;F5H0B7;F5H500;F5GYB5	B4DQI8;P61224;B4DW94;B4DW74;E7ESV4;F5H7Y6;A6NIZ1;F5H823;B7ZB78;F5GZG1;F5H6R7;F5H004;F5GX62;F5H147	Ras-related protein Rap-1b;Ras-related protein Rap-1b-like protein	RAP1B	313
30.4802	30.3118	30.3302	30.9544	31.1677	31.0334				+	L_H	22	22	22	66.2	66.2	66.2	51.872	9.26E-129	4991400000	2.88881	0.0126406	0.67775	0.325531	B4DQJ8;P52209;F5H7U0;F5H0L3;B4DV68	B4DQJ8;P52209;F5H7U0;F5H0L3;B4DV68	6-phosphogluconate dehydrogenase, decarboxylating	PGD	314
26.3735	26.4492	26.1191	27.2542	26.8858	26.9896				+	L_H	14	14	14	36.6	36.6	36.6	58.162	3.49E-63	885600000	2.09002	0.0319098	0.729244	0.33945	B4DR31;Q16555;Q8NAN9;E5RFU4;E9PD68;Q14194;Q14194-2;F5GWI3;H0YBT4;Q14195;Q14195-2	B4DR31;Q16555	Dihydropyrimidinase-related protein 2	DPYSL2	317
25.6861	25.7552	25.3089	26.4594	26.8417	26.5671				+	L_H	8	8	6	16.4	16.4	12.8	52.264	2.94E-41	424730000	2.30542	0.0243081	1.03932	0.476881	P61619;B4DR61;P61619-3;F8W776;Q8TC24;Q9H9S3-2;F8W773;Q9H9S3;H7C1Q9;H7C069;A6NK38;F2Z2C7;A6NIF9;C9JJV4;H7C287	P61619;B4DR61;P61619-3	Protein transport protein Sec61 subunit alpha isoform 1	SEC61A1	319
24.4911	24.4578	24.2133	25.1303	24.9159	24.77				+	L_H	3	3	3	22.9	22.9	22.9	11.802	2.52E-12	145650000	1.78067	0.0477538	0.551355	0.258071	I3L295;Q96K24;B4DT74;Q9H3L2;O75352;Q1HDL3;I3L1D2;I3L4E0	I3L295;Q96K24;B4DT74;Q9H3L2;O75352;Q1HDL3;I3L1D2;I3L4E0	Mannose-P-dolichol utilization defect 1 protein	MPDU1;HBEBP2BPA	338
31.7299	31.9017	31.8445	32.5978	32.481	32.4249				+	L_H	12	12	10	45.7	45.7	37.1	23.811	5.13E-53	17088000000	3.15009	0.00972828	0.675882	0.326239	H0YA96;H0Y8G5;H7BXN2;Q14103-4;B4DTC3;Q14103-3;Q14103-2;Q14103;D6RAF8;F5H6R6;D6RF44;D6RBQ9;D6RD83	H0YA96;H0Y8G5;H7BXN2;Q14103-4;B4DTC3;Q14103-3;Q14103-2;Q14103;D6RAF8;F5H6R6;D6RF44	Heterogeneous nuclear ribonucleoprotein D0	HNRNPD	339
26.3493	26.2147	26.1756	27.0293	26.9527	27.2926				+	L_H	7	7	7	34.6	34.6	34.6	36.248	3.49E-36	816010000	2.26592	0.025627	0.845037	0.399429	B4DU58;P40121;B8ZZS7;E7ENU9;B8ZZL6;H7C0X8;REV__B8ZZL6;REV__E7ENU9;REV__B4DU58;REV__B8ZZS7;REV__P40121	B4DU58;P40121;B8ZZS7;E7ENU9	Macrophage-capping protein	CAPG	343
28.8452	28.8639	29.0133	29.3297	29.4433	29.3224				+	L_H	19	19	11	55.9	55.9	33.1	58.617	3.27E-96	1857000000	2.50913	0.0192657	0.457629	0.221501	B4DUD5;P33240-2;P33240;E7EWR4;E9PID8	B4DUD5;P33240-2;P33240;E7EWR4;E9PID8	Cleavage stimulation factor subunit 2	CSTF2	344
23.6623	23.7643	23.7439	24.3646	24.0892	24.254				+	L_H	3	3	3	11.7	11.7	11.7	40.215	3.67E-19	90308000	1.85188	0.0435725	0.512447	0.245676	B4DUN1;P18615;A2ABK4;A2ABK3;E9PD43;A2ABK2;A2ABK1;B4DYX9;E7ENC7;E7EWR7	B4DUN1;P18615;A2ABK4;A2ABK3;E9PD43;A2ABK2;A2ABK1;B4DYX9	Negative elongation factor E	RDBP	347
26.7734	26.4763	26.837	27.3339	27.4578	27.3114				+	L_H	12	12	12	31.8	31.8	31.8	45.728	3.63E-49	699280000	1.80853	0.0460249	0.672108	0.317015	E9PDK5;B4DVE7;P50995;E9PDS7;H0Y6E1;Q5T0G9	E9PDK5;B4DVE7;P50995	Annexin;Annexin A11	ANXA11	355
26.5936	26.7247	26.7297	27.0766	27.3587	27.3115				+	L_H	11	11	11	31.4	31.4	31.4	36.085	2.00E-41	1044900000	1.9785	0.0371598	0.566236	0.269902	Q96KB5;B4DX68;E5RIE1	Q96KB5;B4DX68	Lymphokine-activated killer T-cell-originated protein kinase	PBK	367
24.5921	24.3336	24.3642	25.1756	25.1576	25.3712				+	L_H	6	6	3	11.9	11.9	6.6	50.99	5.70E-17	175180000	2.73381	0.0147423	0.80482	0.382077	E7EU85;E9PFF5;P51114-3;P51114-2;B4DXZ6;P51114;C9JZE0;C9JY20	E7EU85;E9PFF5;P51114-3;P51114-2;B4DXZ6;P51114	Fragile X mental retardation syndrome-related protein 1	FXR1	372
27.3629	27.5079	27.3698	27.9231	27.8953	27.8427				+	L_H	14	14	14	17.8	17.8	17.8	99.045	7.71E-49	767370000	2.49876	0.0193672	0.473548	0.230686	B4DZI8;P35606;D6RBZ7;D6RCL6;D6RBG7;D6RBT6;D6R997	B4DZI8;P35606	Coatomer subunit beta	COPB2	376
28.1531	28.0051	28.1327	28.903	28.767	28.5891				+	L_H	16	16	16	44	44	44	51.311	4.99E-79	1678000000	2.10635	0.031377	0.65612	0.312141	B4DZM8;Q16401;F2Z3J2;Q4VXH0	B4DZM8;Q16401	26S proteasome non-ATPase regulatory subunit 5	PSMD5	377
25.2747	25.2363	25.1281	25.9589	25.9186	25.8753				+	L_H	9	9	9	22.4	22.4	22.4	63.261	1.12E-34	319250000	3.189	0.00943849	0.704556	0.343669	B4DZR9;Q9UQR0;B4DRC2;H0Y6S1	B4DZR9;Q9UQR0;B4DRC2	Sex comb on midleg-like protein 2	SCML2	378
24.4773	24.5262	24.4101	24.9891	25.0227	24.7974				+	L_H	8	8	5	11.8	11.8	8.8	98.383	2.74E-43	103100000	1.97577	0.0372209	0.465185	0.22388	B4E2G8;P35221;F6XBD8;P35221-2;F8W845;G3XAM7;E5RGY7;E5RGY6;E5RG03;E5RIC3;E5RIB1;Q8N1C0;E5RFM3;E5RJL0;E5RIE0;E5RHV7;E5RJ41;E5RJZ2;E5RIT8;H0YBB8;A6NKP0;REV__Q9P2T0-2;REV__Q9P2T0	B4E2G8;P35221;F6XBD8;P35221-2;F8W845;G3XAM7	Catenin alpha-1	CTNNA1	395
29.3407	29.5493	29.4875	29.9751	30.0158	29.9137				+	L_H	18	18	18	50.4	50.4	50.4	48.879	6.01E-83	3840000000	2.23229	0.0265308	0.509081	0.246096	B4E2W0;P55084;F5GZQ3;B5MD38;C9JEY0;C9JE81;C9K0M0	B4E2W0;P55084;F5GZQ3;B5MD38	Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase	HADHB	403
27.5728	27.45	27.4979	28.029	28.123	28.1694				+	L_H	11	11	10	36.7	36.7	33.7	38.685	1.97E-58	1420600000	3.36141	0.00837844	0.600227	0.292136	B4E3A8;P30740;B4DNT0	B4E3A8;P30740;B4DNT0	Leukocyte elastase inhibitor	SERPINB1	409
22.5239	22.5702	22.4044	22.8167	22.945	22.8726				+	L_H	2	2	2	8.7	8.7	8.7	27.6	3.70E-06	64305000	2.34099	0.0230761	0.378611	0.183633	Q96FF9;B5MBX0;H0YCL8	Q96FF9;B5MBX0;H0YCL8	Sororin	CDCA5	415
26.0498	26.1445	25.9845	26.5109	26.3087	26.4924				+	L_H	14	14	13	30.4	30.4	28.6	65.225	7.12E-75	582010000	1.94611	0.0385079	0.377786	0.18167	Q86YP4-2;Q86YP4;B5MC40;B4DKZ7;H7C3H1;F5H7D9;C9JMI3;C9JGN4;C9JHD7;C9JJK9;C9JVY3	Q86YP4-2;Q86YP4;B5MC40;B4DKZ7;H7C3H1;F5H7D9	Transcriptional repressor p66-alpha	GATAD2A	418
25.6121	25.8811	25.4264	26.3069	26.4531	26.7068				+	L_H	11	11	11	22.9	22.9	22.9	66.077	1.82E-35	601400000	2.05261	0.0339169	0.849016	0.390128	B5MCF9;O00541-2;O00541;B3KXD6;C9JXJ1;H7C267	B5MCF9;O00541-2;O00541;B3KXD6	Pescadillo homolog	PES1	421
24.678	24.4626	24.1499	25.0147	25.4954	25.3468				+	L_H	8	8	8	12.5	12.5	12.5	95.361	6.82E-24	250160000	1.82048	0.0453653	0.855469	0.38726	B5MCW3;Q9H0E9-2;H7C128;H7C179;Q9H0E9-4;H7C127;Q9H0E9;F8W820;F8WBH2;C9JV05;Q9H0E9-3;H0Y2L9;F8WDX5;D6RID0;F8WCS7;H7C2P4	B5MCW3;Q9H0E9-2;H7C128;H7C179;Q9H0E9-4;H7C127;Q9H0E9;F8W820	Bromodomain-containing protein 8	BRD8	426
26.6648	26.8923	26.5679	27.216	27.3673	27.1399				+	L_H	8	8	7	23.8	23.8	22.3	50.576	1.64E-33	718740000	1.86801	0.0427404	0.532726	0.251633	B5ME91;Q53EL6;Q5VZS7;Q9UBN4-6;Q9UBN4-4;Q9UBN4-3;Q9UBN4-2;Q9UBN4;Q9UBN4-5	B5ME91;Q53EL6	Programmed cell death protein 4	PDCD4	431
19.9567	20.3292	20.1323	21.2059	21.3975	20.8799				+	L_H	3	3	3	5.1	5.1	5.1	120.96	2.87E-07	19011000	2.14887	0.0293185	1.02172	0.467502	E7ESU0;O94966-4;O94966-3;O94966;E7EST9;B5MEG5;E7EN22;E7ETS0;E9PEG8;C9J8M4;O94966-2	E7ESU0;O94966-4;O94966-3;O94966;E7EST9;B5MEG5;E7EN22;E7ETS0;E9PEG8	Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 19	USP19	434
26.3262	26.3986	26.1061	27.0275	27.0851	27.3985				+	L_H	14	13	13	41.1	39.8	39.8	56.466	4.01E-53	1208500000	2.35807	0.0226766	0.893404	0.416507	Q5JB52;B7WPG3;Q8WVV9-4;C9J9G0;Q8WVV9;H7C464;H7C0J6;C9JJZ7;H7BXH8;Q8WVV9-3;Q8WVV9-2;C9IYN3	Q5JB52;B7WPG3;Q8WVV9-4;C9J9G0;Q8WVV9	Heterogeneous nuclear ribonucleoprotein L-like	HNRPLL	439
31.0566	30.9712	31.1979	31.9562	31.7106	31.7666				+	L_H	29	29	28	68.9	68.9	66.2	60.021	2.62E-190	14213000000	2.72674	0.0148092	0.73587	0.350506	B7Z2S5;Q16881-4;Q16881-3;Q16881;E7ESI6;B2R5P6;Q16881-5;E2QRB9;Q16881-2;E9PNQ6;E7EW10;Q16881-6;E9PIR7;F5H780;E9PMY9;E9PKD3;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;E9PJU2	B7Z2S5;Q16881-4;Q16881-3;Q16881;E7ESI6;B2R5P6;Q16881-5;E2QRB9;Q16881-2;E9PNQ6;E7EW10;Q16881-6;E9PIR7;F5H780;E9PMY9	Thioredoxin reductase 1, cytoplasmic	TXNRD1	445
28.2024	28.2235	28.046	28.7849	28.8405	28.98				+	L_H	21	21	18	23.4	23.4	20.4	109.55	1.93E-88	2508400000	3.03772	0.0110181	0.711163	0.341804	B7Z3U6;P05023;F5H3A1;H7BXX5;P05023-2;E9PC07;B1AKY9;P13637;P50993;F5H6J6;B7Z2T0;E9PC51;H0Y7C1;B4DIQ8;B7Z1Q9;F5H0J0;Q13733;Q5TC01;Q5TC02;Q5TC05;E9PHR6;B4DHD7;E9PRA5	B7Z3U6;P05023;F5H3A1;H7BXX5;P05023-2	Sodium/potassium-transporting ATPase subunit alpha-1	ATP1A1	456
31.8019	31.6675	31.817	32.5844	32.6829	32.5719				+	L_H	28	28	28	50.7	50.7	50.7	72.4	9.37E-215	15543000000	3.64509	0.00635054	0.850921	0.413253	B7Z4V2;P38646;F5H3L8;D6RJI2;D6RA73;H0Y8S0;H0YBG6	B7Z4V2;P38646;F5H3L8	Stress-70 protein, mitochondrial	HSPA9	469
24.4743	24.2405	23.8667	25.2718	25.2826	25.5073				+	L_H	5	5	5	35.6	35.6	35.6	22.492	2.91E-16	180640000	1.91979	0.0399744	1.16012	0.529041	P52943;B7Z6C0;H0YFA4;H0YHD8	P52943;B7Z6C0;H0YFA4	Cysteine-rich protein 2	CRIP2	479
28.2501	28.1034	28.2876	28.8343	28.8803	29.1495				+	L_H	5	5	5	41.9	41.9	41.9	14.558	4.93E-36	1983300000	2.21885	0.0269225	0.741013	0.350654	E7EPB3;B7Z6S8;P50914	E7EPB3;B7Z6S8;P50914	60S ribosomal protein L14	RPL14	481
25.7686	25.9457	26.1307	27.0799	26.8582	26.6596				+	L_H	10	10	10	20.8	20.8	20.8	68.272	1.50E-46	596500000	2.30865	0.024151	0.917592	0.424773	B7Z7A3;Q9BZE4;B4DY13;Q5T3R7	B7Z7A3;Q9BZE4;B4DY13	Nucleolar GTP-binding protein 1	GTPBP4	482
25.2674	25.0951	24.8251	25.7738	25.7934	26.2077				+	L_H	8	8	4	33.2	33.2	21.4	31.54	3.08E-25	427220000	1.95983	0.038017	0.862387	0.393558	P48739;P48739-2;B7Z7Q0;B3KYB6;B3KYB7	P48739;P48739-2;B7Z7Q0;B3KYB6;B3KYB7	Phosphatidylinositol transfer protein beta isoform	PITPNB	485
29.4524	29.448	29.4447	30.089	30.2326	30.161				+	L_H	39	39	39	40.1	40.1	40.1	126.27	6.37E-170	4511000000	2.48252	0.0196666	0.712517	0.349016	B7Z815;Q93009;F5H8E5;H3BND8;B7Z7T5;F5H2X1;H3BUV0;H3BTM1;H3BRA2;H3BQD1;I3L2D8	B7Z815;Q93009;F5H8E5;H3BND8;B7Z7T5	Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 7	USP7	490
27.4345	27.3107	27.3862	28.2444	28.1238	27.8868				+	L_H	11	11	4	12.5	12.5	7.8	140.52	3.30E-54	1178000000	1.86097	0.0430766	0.707843	0.335302	Q9UPN6;B7Z888	Q9UPN6;B7Z888	Protein SCAF8	SCAF8	491
