Protein	H1	H2	H3	L1	L2	L3
Q5JRG1;Q9BVL2-2;C9JDH3;H7BYF2;H7BXQ4;A6NI12;Q9BVL2	11918000	7551500	14417000	21709000	10182000	13353000
A6NJ11;Q92890;Q92890-1;C9JS35;A8MW31;C9IZG3	24717000	28890000	13094000	30623000	30387000	22524000
A6NJ78;A6NJ78-2	5799500	4735400	4276600	5358900	5309500	3546000
A6NJA2;B7Z4N8;P54578	74132000	67664000	97972000	111890000	92157000	117820000
Q16540;A6NJD9;A8MVT4;A8MYK1;H7C2P7	18327000	23120000	0	13649000	11560000	13321000
Q76FK4-2;Q76FK4-4;A6NJK7;Q76FK4;F8WE42;F5H101;Q76FK4-3	71472000	61216000	67432000	84026000	115490000	100560000
Q8WTT2;A6NJZ9;F5H677	116090000	147200000	106810000	161510000	154950000	126500000
Q13596-2;A6NKH4;Q13596;H0Y2M5;H0YK42	18991000	17974000	15476000	24011000	25246000	33539000
A6NLT0;Q9Y3B7;Q9Y3B7-2;E9PQB6	4326800	4501300	4872700	7075400	6300500	8135900
E1B6W5;P22307-2;B4DHP6;A6NM69;C9JC79;P22307	36891000	37729000	36619000	65416000	51384000	56548000
P09884;A6NMQ1	34351000	17405000	19069000	31574000	34124000	39514000
O43768-6;O43768-5;O43768-2;O43768;O43768-7;E9PB69;O43768-3;O43768-4;A6NMQ3;C9JUF4;Q5T5H1	0	5409000	0	0	4658800	0
E9PGK1;A6NN80;P08133;B7Z582;E5RK69;E7EMC6	65116000	61060000	60049000	74775000	102600000	81495000
A6NNK5;Q12888;F8VY86;Q12888-2	90709000	127620000	140330000	207680000	216920000	195740000
Q15257-3;Q15257-2;A6PVN5;Q15257;B7ZBQ0;Q68CR8;Q15257-4;A6PVN9;B4DZF8	82526000	68859000	75054000	187410000	108930000	98013000
Q15906;A6PW55	11566000	17038000	15585000	22104000	30353000	37071000
Q99755-2;Q99755-4;Q99755-3;A6PW57;Q99755	21513000	23196000	14506000	21495000	22796000	16358000
Q9ULV4;A7MAP0;B4E3S0	1352900000	1129400000	1428100000	2121400000	2143200000	2356600000
P35241;A7YIJ8;F5H1A7;H7BZI4	134340000	83282000	77674000	142100000	125160000	105340000
A8CG34-2;A8CG34	11296000	5627500	6979000	5088500	9997700	7676800
P50570-2;A8K1B6;P50570;F5H4R9;E9PEQ4	111120000	124080000	128640000	171030000	153540000	156850000
A8K1C9;Q96LT9	5245300	8661000	6640300	9960700	8981700	10548000
A8K8E1;Q8TC07-2;Q8TC07	20939000	23650000	21450000	32222000	24459000	22160000
P53990-2;P53990;P53990-4;A8KAH5;H3BMU1;H3BUI0;F5H6Z7;P53990-3;F5GXM3;H3BQF7;H3BVH9	21453000	38016000	18992000	47297000	35759000	24930000
C9IYT9;C9JX92;A8MQ02;P55196-2;P55196-6;Q5TIG5;P55196-3;P55196-1;P55196;P55196-5	18398000	11422000	14198000	19764000	25530000	26554000
A8MQB8;Q06787-8;G3V0J0;Q06787-2;G8JL90;Q06787-6;Q06787-4;Q06787-5;Q06787-7;Q06787-3;Q06787;Q8IXW7;G8JLE9	2717700	2161100	0	0	1599900	2134800
C9J0K6;B4DKK2;A8MTH6;P30626;B4DHQ6	173800000	212560000	131760000	191390000	200550000	242240000
Q15398-1;A8MTM6;Q15398;G3V4E5	7514000	9862700	8773300	12682000	12982000	13766000
A8MUB1;P68366	526370000	596800000	648740000	1342500000	1.246e+09	1221100000
O15533-2;G5E9H8;O15533;D3YTI9;A8MUD0;O15533-3;F8VS90;E9PGM2;A2ABB9;A2AB90	42568000	17583000	16092000	16691000	33253000	13320000
Q53HC9;A8MUM1;C9JVR6	0	1659800	0	0	0	0
P62750;H7BY10;A8MXA8;A8MUS3	756610000	686260000	747160000	983750000	832380000	804020000
Q52LJ0;A8MUW5	88644000	117470000	100140000	111890000	97797000	150610000
Q16643;A8MV58;Q16643-2;D6R9W4	62889000	69983000	54388000	95440000	93231000	97728000
Q5M775-4;A8MV89;Q5M775;Q5M775-5;Q5M775-3;Q5M775-2	39134000	42223000	26328000	52455000	53320000	50610000
A8MVD5;Q99426	18337000	15154000	6308000	30762000	29765000	21156000
A8MVI8;Q6NW34-2;Q6NW34;E7ENV3	0	6813200	5815300	8417600	5361900	5831700
A8MVR0;Q9Y6Y0	4784400	4216700	0	4812600	6827900	4926800
O43660;A8MW61;O43660-2;D6RA26	354300000	363500000	391570000	340570000	386120000	482240000
B4DVY1;A8MWD3;O15371	84401000	90973000	67882000	119840000	120250000	160510000
P62308;A8MWD9;Q49AN9;F5H013;F5H5R7;C9JVQ0	603270000	426420000	814320000	883720000	610930000	538290000
Q9BZ29-3;Q9BZ29-5;Q9BZ29;A8MWZ5;Q9BZ29-4;E9PCD6;D3YTH2;F5GZE8;Q6ZSL5	0	3184100	0	0	0	0
P43243;A8MXP9;D6REM6;D6R991	2736500000	2706600000	3116800000	5135500000	4661200000	4269600000
A8MXV4	0	0	0	0	4621000	7883600
A8MYT4;Q8NEB9	0	0	0	2982800	3712400	2047200
Q99733;F5HFY4;A8MZ22;C9J6D1;E9PNW0;E9PJJ2;E9PS34;E9PNJ7;C9JZI7;A8MXH2;E9PKT8;E9PKI2;E9PP22	247470000	328830000	341090000	323940000	309170000	327490000
A8MZF9;P55039	7921600	7842000	10933000	14507000	17410000	15404000
G3V2Q3;O75909-2;O75909-1;C9JSW4;A8MZK4;G3V5E1;O75909;O75909-4;C9JI13;G3V235	9233400	15969000	7946500	17046000	18818000	22338000
Q8IYB3;A9Z1X7;E9PCT1;Q8IYB3-2	467730000	517130000	611460000	835700000	777160000	736510000
B0AZR7;Q13303-2;Q13303;Q13303-3;Q5TG80	5477600	8226900	6043800	11182000	4751600	2827700
Q9UH99;B0QY62	2318900	1717100	0	2337800	2899900	2481600
G8JLH4;Q9Y262;B0QY89;B3KNG0;B0QY90	109260000	110180000	80174000	216960000	246080000	194540000
B0QYK1;B0QYK0;Q01844-3;Q01844;Q01844-5;H7BY36;Q01844-2;C9JGE3	277450000	277380000	135260000	156630000	260480000	127550000
H3BQQ9;P63279;B0QYN7;H3BPC4	174980000	220550000	198590000	262960000	357150000	381860000
B0QYW5;F5GYD1;B4DU97;O43808;F8WE74	4664700	4859400	3651600	5674600	9569000	5652300
P25440;H0Y6K2;H0Y5T9;P25440-2;B0S7P1;B0V072;H0Y602;B0V073;Q658Y7;F8VXF8;E9PIQ3	13980000	22731000	25884000	32968000	27261000	41860000
B0S8I6;Q14320	18260000	25259000	11488000	32472000	29690000	31313000
E7EMZ4;F8VXY4;F8VX53;P46379-2;B0UX83;P46379;P46379-3;G3V1Z5;F6S6P2;F6TH84	107410000	111180000	95679000	130940000	158500000	137550000
Q96KQ7-2;B0UZY3;Q96KQ7;A2BED6;A2BED7;H0YIM0;H0YHA9;B0UZY0;A2ABF8;B0UZY1;A2ABF9	11261000	9161900	0	12374000	21522000	10101000
P26640;B0V043;H0Y4A6	626510000	510850000	545900000	805500000	788430000	798350000
B4DWZ0;B0V0L0;E7ETJ1;P36915-2;P36915;A8MPZ0	23236000	16395000	16685000	27386000	29488000	25417000
B1AH49;E7ENL2;P25325	14466000	28926000	26849000	45405000	35971000	26631000
B1AH89;Q14166	168430000	127740000	117220000	189790000	237040000	223930000
P55769;B1AHD1	628770000	660070000	381030000	923800000	741110000	860680000
B1AJQ6;Q86Y82	5555000	7658600	4322400	8771800	11420000	8714800
B1AK81;B4E2M3;Q92643;A6NEM5	0	0	0	4280800	0	0
O43847;O43847-2;B1AKJ5;G3V1R5;F5H6R2;F5H7V1	151910000	126900000	134370000	223940000	209480000	212230000
Q9NP97;B4DFR2;B1AKR6	18903000	16177000	2.1e+07	22133000	27350000	19010000
B1AKV6;B1AKV3;Q9NVA1;B7Z314;B1AKV2;Q9NVA1-5;Q9NVA1-4;Q9NVA1-2	6790000	5778800	6106300	7886700	6078100	7371000
B1ANR0;Q13310-2;Q13310;Q13310-3;H0Y5F5	220860000	183910000	279630000	282550000	287810000	327420000
F5H0X6;P07602;P07602-2;C9JIZ6;P07602-3;F8W6Z6;B1AVU8	8689700	14097000	0	14009000	14960000	11167000
Q03518;B1AZV3;F5H648	32067000	30699000	36661000	38828000	34633000	32372000
P21675;P21675-2;B1Q2X3;P21675-3;P21675-4;Q8IZX4	9761800	10597000	10031000	14224000	15034000	14130000
B2WTI4;Q6NYC1-2;Q6NYC1;Q6NYC1-3	11336000	8503100	8932800	11714000	13535000	6873800
B3KMG0;Q53GS7;Q53GS7-2	20563000	24294000	26895000	30898000	31999000	26788000
Q8IXK0-2;B3KPJ4;Q8IXK0-4;Q8IXK0;Q8IXK0-5;Q8IXK0-3;C9J3D2	25223000	19766000	27196000	53103000	37162000	37469000
B3KQ63;H0YF74;P32754	240870000	161190000	222790000	457210000	412490000	358660000
B3KQF6;F5GWU6;F5H008;Q9H267	11413000	5351800	4886200	6076900	21958000	9995000
B3KS61;O60725	6476500	3312200	4934200	13629000	5555000	4707300
B3KSA0;P49753-2;Q86TX2;P49753;G3V4F2	15672000	10898000	10544000	8873300	12307000	9445800
B4DMT5;O00303;B3KSH1	212750000	231800000	167290000	243230000	283200000	276920000
O15382-2;B3KSI3;O15382	15037000	12601000	11126000	20619000	20011000	19516000
B3KT25;Q96S55-2;Q96S55;Q96S55-3;Q96S55-4	28590000	25540000	37433000	43088000	37862000	51022000
F8W7U8;P49959;B3KTC7;P49959-2	18242000	16736000	37892000	23329000	22160000	21468000
H0YLJ3;Q9UBU8-2;B3KTM8;H0YMJ0;Q9UBU8;B7Z6R1	76633000	64051000	54700000	109920000	98174000	96770000
P14678-2;P63162;P14678;B3KVR1;E7ENP4;P14678-3	2238100000	1700800000	2433100000	2170800000	2803400000	3589400000
Q8WTV0-4;B7ZKQ9;F8W8N0;Q8WTV0-2;B3KW46;B4DZ71;Q8WTV0;F5H4X0;Q8WTV0-3	19574000	2.5e+07	18312000	25167000	29529000	26385000
B3KW52;H3BRL3;O14562	5980800	4487100	5505100	5274300	6403200	12436000
B3KW71;P09417;B7Z415;D6RGG7	45072000	39670000	36247000	63661000	77240000	69738000
B3KX27;B4DUS7;Q8IUC4	2478200	2970700	0	4892200	4280300	3643400
B3KXH8;Q9Y5X1	9056300	17285000	0	16456000	25325000	10313000
F8VVQ3;F8VZA2;Q6P1Q0;B3KXK7;F8VS60;F8W0R0;Q6P1Q0-4;F8VP71;B7Z7E4;Q6P1Q0-2;H0YHF4;F8VPY5;F8W1Z2	11202000	20806000	0	7774600	11319000	11662000
B3KXS5;P36776;F5GZ27	146690000	141750000	155600000	211810000	228670000	258940000
O43747;O43747-2;B3KXW5;E7EUH1	68887000	57100000	62968000	67129000	108210000	88350000
E7ENR3;B4DDF4;Q99439;B4DUT8;H3BTZ5;H3BVI6;Q99439-2;H3BQH0	59260000	66376000	58049000	70643000	69440000	81753000
B4DDF7;P30153;F5H3X9;E9PH38	1077300000	1156400000	1010900000	1620400000	1698400000	1646700000
B4DDG1;P68036;E7EWS7	80614000	52528000	83347000	139340000	163710000	156370000
B4DDG9;P13196;H7C4H7	0	6295700	0	3357600	9419600	5917800
B4DDP6;Q9UJU6;Q9UJU6-2;Q9UJU6-3;B4DDD6;F8WBG8;H0Y5J4;B4DDU5	14924000	12937000	10896000	28124000	18336000	17650000
B4DDY8;P49590;E9PG66;C9JV49;D6RJE6;B4DQ67;F5HHF0;C9JHI8	2133100	1796800	0	0	3341800	2022000
B4DE85;Q9BUQ5;P48651	16250000	17906000	15670000	15389000	16296000	12445000
E7EPW2;B4DFJ5;P82663;B4DQG6	52205000	45033000	43778000	64578000	71654000	57480000
H3BM67;H3BUP2;H3BUN4;O60936-2;B4DFL0;O60936	8600600	6299600	0	12436000	11435000	12971000
B4DFL2;P48735;B4DSZ6;H0YL11	14240000	12335000	13845000	13585000	16553000	15738000
C0IMW5;B4DFR4;Q969G3-2;B4DGM3;Q969G3;H7BXG8;H7C3F6	220320000	215490000	301920000	355610000	323630000	297520000
P19367-4;B4DG62;P19367-2;P19367;P19367-3;E7ENR4	46836000	63689000	46391000	68360000	69088000	55689000
Q9ULH7-4;Q9ULH7;B4DGT8	2269200	2100500	0	0	2378600	2640100
B4DH44;P45985;P45985-2	0	3411000	2268900	0	6128900	6623400
B4DH53;Q66K74	3181600	6016000	0	8411100	0	0
B4DHE8;Q96DH6-2;Q96DH6	2554100	8354100	16635000	37887000	7091000	10806000
B4DHR0;Q9H5N1-2;Q9H5N1	0	3947800	0	2272300	3369600	0
B4DT77;B4DHY4;P20073-2;P20073	95823000	114180000	112210000	188110000	160240000	189350000
B4DIF5;Q9NV96-3;Q9NV96-2;Q9NV96	6025900	4444400	3518800	2019200	6635800	7184300
H7C0V9;P05067-10;E9PEV0;P05067-3;P05067-4;P05067-5;P05067-6;E9PG40;P05067-7;B4DII8;P05067-8;P05067-9;P05067;H7C104	18835000	16183000	19201000	13713000	28536000	17014000
B4DIZ2;P61086;D6RDM7;P61086-2;C9JGP1	82644000	85811000	78502000	112690000	104250000	124220000
B4DT56;B7Z1J3;B4DJE5;E9PNM1;P37268;B3KQ95	5742400	7693600	5562300	12962000	8123000	6167800
B4DJE7;B7Z9I1;P11310;P11310-2;Q5T4U5	11396000	9919200	5161200	17071000	13922000	13733000
B4DJL6;B4DVD5;Q96SY0-3;H3BRY6;B4DVT3;Q96SY0	86543000	81917000	90960000	114830000	114100000	107930000
B4DJP7;P62318	4048600000	3328400000	4938900000	5624500000	4825900000	6200200000
C0H5W9;B4DJS7;Q9UNH7;G3V5X9	15749000	19125000	8121700	7245400	17176000	8104000
B4DJU5;Q8IUI8	3587600	4875900	2808200	6943100	8060800	7898100
B4DJV2;O75390;H0YIC4	606430000	679980000	637180000	864710000	1034700000	895930000
B4DJV5;Q13610	36238000	50586000	23779000	55593000	59417000	46253000
B4DK30;Q15029	4951800000	4035100000	5459800000	6.515e+09	6387700000	6978800000
E5RJI3;B4DKJ6;E5RIU9;Q8WUX9	14320000	10416000	11323000	20861000	13187000	11442000
P49589-2;B4DKY1;P49589;P49589-3;A8MVQ3	16511000	10504000	9314800	11132000	9875000	15934000
P29353-2;P29353-7;B4DL02;P29353;P29353-6;Q5T181;Q5T182;P29353-3	3328400	6369700	2897200	2285300	1813300	4081000
B4DL14;P36542-2;P36542	123520000	122080000	126300000	1.46e+08	175080000	147880000
B4DL96;Q13887;A2TJX0	23608000	32472000	22699000	28455000	33755000	21182000
B4DLG2;O75152;E9PQ61;E9PBY7	177080000	174270000	168410000	269970000	285600000	281530000
B4DLN1;P52815	206750000	275890000	269440000	352870000	339780000	297460000
F5H6G7;B4DLV0;Q9BSC4;Q9BSC4-2;H7C1Z3	12332000	13234000	7495100	15905000	9406600	10400000
C9J453;O15344-2;B4DLX8;O15344	3934400	2992200	0	4245900	7943800	4637900
F8VS23;F5H7B0;F8VNU1;B4DM01;Q15477;F5H6Y7	2186600	3188400	2058100	1278500	2426000	2267100
B4DM74;Q02543	288990000	237080000	287370000	456950000	429990000	592420000
Q9Y3F4;B4DNJ6;B0AZV0	383850000	371630000	350920000	470240000	568770000	544300000
B4DNM4;Q96GD4	5804100	4718400	0	6468700	7062100	0
Q5TBH8;B4DNM9;O15228;Q5TBH6	1939500	2290500	0	2623100	3352800	2929700
B4DNR3;Q96IU4;B4DQI4;F8W9U3	38040000	24237000	34089000	41563000	46971000	57054000
B4DP11;Q15185;B4DP21	1292900000	1253200000	906890000	1887600000	2270400000	2336300000
H0Y8B6;B4DP98;O15381;F8W938;O15381-3;O15381-2;B4DMC4	6178800	7890000	6542500	11658000	9287100	7685700
F6TTN0;B4DPY8;O94842	39970000	56610000	46779000	68441000	75096000	59660000
B4DQH9;Q6VN20;B3KP49;B4DID0	2178800	1705000	0	4011700	0	0
B4DQI6;B4DUA9;Q13595;Q13595-2	35511000	57301000	39613000	34603000	57925000	41035000
B4DQJ8;P52209;F5H7U0;F5H0L3;B4DV68	1497800000	1332800000	1349900000	2080600000	2412200000	2197800000
Q9P000-2;B4DQW0;Q9P000	20623000	22484000	8291100	35971000	31896000	31258000
B4DR31;Q16555	86941000	91620000	72885000	160080000	1.24e+08	133250000
P61619;B4DR61;P61619-3	53988000	56634000	41566000	92270000	120270000	99425000
B4DR70;P35637-2;P35637;H3BPE7	1800400000	1466900000	1681800000	1951700000	2038800000	2284500000
Q02809;B4DR87	277180000	216560000	220890000	334480000	319920000	354800000
Q5JVZ5;Q96JJ3;B4DRL5;F5GZP8;Q7Z5G9;H0YEH5;B4DZ20;Q5JVZ8;H0YCM7	9608700	10666000	11178000	19181000	21401000	13367000
D6RH20;G5EA06;Q92552;B4DRT2;D6RJC7	19764000	32342000	10596000	14975000	19620000	12548000
G3V1P0;B4DS22;Q9P215	4305100	3770700	0	4616700	3872400	5294000
B4DS55;F5H5U7;Q96JG6;Q75N11;H0Y7Q2;Q5JPD9	1839200	0	1668300	2050800	3206300	2079300
O14773-2;B4DSE2;O14773	13119000	16961000	8902100	0	16791000	18271000
B4DSN4;Q8NHM5-2;E7ET57;Q8NHM5;Q8NHM5-4;Q8NHM5-3;E7EML5	9927700	7710000	8399800	21048000	8908500	32333000
B4DT35;Q7Z3B4;E7EUM5;Q7Z3B4-2	79170000	79877000	85699000	83102000	100450000	83774000
I3L295;Q96K24;B4DT74;Q9H3L2;O75352;Q1HDL3;I3L1D2;I3L4E0	23580000	23042000	19450000	36725000	31655000	28609000
H0YA96;H0Y8G5;H7BXN2;Q14103-4;B4DTC3;Q14103-3;Q14103-2;Q14103;D6RAF8;F5H6R6;D6RF44	3561600000	4012100000	3856100000	6500100000	5994700000	5765800000
B4DTG6;Q8ND56-2;Q8ND56;I3L420	1858000	4126300	0	0	9344000	0
F5H260;B4DTT0;H7C3P4;B4DYH8;P15586;F6S8M0;F5H4C6	27914000	16950000	18860000	31445000	22997000	32333000
B4DU58;P40121;B8ZZS7;E7ENU9	85492000	77875000	75794000	136970000	129890000	164400000
B4DUD5;P33240-2;P33240;E7EWR4;E9PID8	482260000	488550000	541860000	674720000	729980000	671310000
B4DUN1;P18615;A2ABK4;A2ABK3;E9PD43;A2ABK2;A2ABK1;B4DYX9	13276000	14248000	14048000	21601000	17847000	20007000
B4DUS9;O95861;A6NF51;C9JI50;O95861-2;B4DPS5	69718000	56853000	74539000	1.1e+08	94093000	133420000
F8VRR3;G3XA91;B4DUX5;F8VQZ7;P50579	52191000	42295000	35270000	47115000	52277000	52781000
B4DV79;P55884;F8W8C8;P55884-2	492030000	403610000	369180000	475230000	610150000	685620000
E9PDK5;B4DVE7;P50995	114710000	93361000	119880000	169170000	184340000	166550000
B4DVQ5;F5H4V1;H3BRV0;Q99613;B5ME19;B4DRU0;B4DVU3;C9J1F3;B4DDN4	161160000	107880000	162780000	241450000	255400000	243150000
B4DWA1;F8W878;Q9UQB8-3;Q9UQB8-5;Q9UQB8-4;Q9UQB8-6;Q9UQB8-2;Q9UQB8;I3L4C2;I3L2M4	9646900	10398000	8691100	13595000	13341000	10474000
B4DXI5;E9PEN4;B4DWI1;Q9UJ83;B3KPX4	1715200	2542600	2815500	3410200	2540500	3382600
B4DWU3;E9PMG2;P50897;E9PP28;E9PK48	47156000	39181000	41483000	58743000	57639000	57966000
B4DWW1;P40616;B4DZG7;F8VYN9	93168000	67333000	107960000	105460000	102760000	65548000
B4DX32;O60870;F5GXB3	0	0	6941000	0	0	7708000
Q96KB5;B4DX68	101270000	110900000	111290000	141540000	172100000	166560000
B4DXC8;Q9Y5B8-2;Q9Y5B8;E9PNU1	0	0	0	1694800	1219600	3217400
B4DXK8;Q8TED0;H0Y8P4;B4DU75	35226000	42253000	21486000	40032000	41075000	35919000
E7EU85;E9PFF5;P51114-3;P51114-2;B4DXZ6;P51114	25291000	21142000	21595000	37897000	37428000	43400000
G3V4W0;B4DY08;G3V4C1;P07910-2;G3V576;B2R603;G3V2Q1;P07910;P07910-4;G3V2D6;P07910-3;G3V555;G3V5V7;G3V575;G8JL89;O60812	2340100000	2228100000	2290700000	2742700000	3458600000	3016900000
Q9H0D6-2;B4DZC3;Q9H0D6	44851000	34419000	56612000	85300000	84340000	96450000
B4DZI8;P35606	172600000	190850000	173430000	254500000	249650000	240710000
B4DZM8;Q16401	298480000	269380000	294290000	501970000	456800000	403820000
B4DZR9;Q9UQR0;B4DRC2	40593000	39526000	36669000	65222000	63427000	61552000
P11234;Q6ZS74;B4E040;C9J6B1;C9JQB3;P11233	42526000	32165000	60014000	66342000	69287000	55103000
E9PI38;E9PQS6;E9PKV4;Q96CP1;Q2TAM5;E9PKH5;B4E082;Q04206-2;Q04206-3;Q04206-4;Q04206	17750000	16455000	16519000	17963000	19033000	13898000
G3XAN4;B4E0K2;Q15629	15616000	18175000	23266000	20769000	28815000	21781000
B4E0V0;B4E1D7;Q9NVS9;B4E152	10429000	8914400	0	13413000	18002000	21245000
Q8NBY1;Q9P289;B4E0Y9;Q9P289-2;Q9P289-3	124460000	97760000	97551000	126780000	148500000	151030000
B4E1G1;Q9BUN8-2;Q9BUN8;E5RGY0	44108000	45325000	59625000	41326000	81329000	61700000
B4E1H5;Q12834	2565000	2740500	0	1677000	1791200	1680400
B4E1N1;Q6NXE6-2;Q6NXE6;F5H4P3;F5GYG2;F5H6J3;F5GWV0	32244000	31740000	30716000	38752000	37721000	45713000
B4E1W4;E7EU88;Q9P2N6-6;Q9P2N6-5;Q9P2N6-4;Q9P2N6-3;Q9P2N6;C9J5A4;C9J491;Q9P2N6-8;F8W894;Q9P2N6-2	4835300	4748500	5099700	4424900	4978700	4805600
B4E241;P84103	799830000	655370000	516320000	1310100000	550660000	950680000
B4E2G8;P35221;F6XBD8;P35221-2;F8W845;G3XAM7	23356000	24162000	22293000	33302000	34086000	29158000
B4E2S7;P13473-2;P13473;P13473-3;B7Z2R9	46998000	0	0	0	82437000	165570000
B4E2V5;P27105;B1AM77	6981200	10155000	0	8498300	0	7339700
B4E2W0;P55084;F5GZQ3;B5MD38	679860000	785650000	752690000	1055400000	1085600000	1011400000
Q8N6R0-3;Q8N6R0-4;B4E2X3;Q8N6R0;Q8N6R0-1	4445100	5094100	4352300	5124000	5225500	3108500
B4E329;E7EMY2;O60256;B7ZKZ1;E7EPA1	26762000	35945000	23224000	36006000	51215000	34967000
B4E3A8;P30740;B4DNT0	199630000	183350000	189540000	273880000	292320000	301890000
B4E3L3;Q96RU2-2;Q96RU2;G3V1N5	2005300	1048500	2524400	6212700	3604400	3224300
E9PGC1;E9PFN4;Q9Y6M7;B5M453;E9PDL9;B6DY52;Q9Y6M7-4;Q9Y6M7-3;C9JRP1;Q9Y6M7-2;B5M452;B2CI53;D3K174;B6DY53;Q9Y6M7-5;F8W7E6;H7C3C4	26412000	25241000	22861000	30943000	42891000	21992000
B5MCW9;Q9HC35;B5MBZ0	30614000	27931000	38653000	41651000	29053000	29603000
H7C3Z9;O95994;B5MC07;C9J3E2	0	2233900	0	10450000	8644100	4598800
Q86YP4-2;Q86YP4;B5MC40;B4DKZ7;H7C3H1;F5H7D9	69465000	74178000	66390000	95629000	83122000	94409000
B5MCF9;O00541-2;O00541;B3KXD6	51288000	61799000	45094000	83015000	91868000	109530000
B7Z254;Q15084;F8WA83;B5MCQ5;Q15084-2	2.678e+09	2079300000	2437200000	3402200000	3179800000	3347500000
B5MCW3;Q9H0E9-2;H7C128;H7C179;Q9H0E9-4;H7C127;Q9H0E9;F8W820	26842000	23120000	18614000	33899000	47303000	42671000
P62826;B5MDF5;F5H018;H0YFC6	4855800000	3712900000	6290200000	6278300000	5855700000	6735600000
B5MDQ4;Q92600;B7Z1E5	4154800	4833400	3551900	6846400	7462900	5586800
B5ME91;Q53EL6	106390000	124560000	99483000	155900000	173130000	147880000
E7ESU0;O94966-4;O94966-3;O94966;E7EST9;B5MEG5;E7EN22;E7ETS0;E9PEG8	1017600	1317300	0	2418900	2762500	1929600
